period,respondent,respondent-name,Day-ahead demand forecast,Total interchange,Solar,Wind,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WSC,Region,hour_sin,hour_cos,month_sin,month_cos,day_of_year,doy_sin,doy_cos,day_of_week,dow_sin,dow_cos,is_weekend,Pct_Solar,Pct_Wind,DA_forecast_yesterday,unexpect_dem_diff,lag_interchange_1h,lag_interchange_24h,interchange_roll_mean_3h,Net_generation_lag_1,Demand_30d_avg,Day-ahead demand forecast_30d_avg,Solar_30d_avg,Wind_30d_avg,Net generation_30d_avg,Total interchange_30d_avg,Pct_Solar_30d_avg,Pct_Wind_30d_avg,ALLSKY_SFC_SW_DWN_30d_avg,T2M_30d_avg,WSC_30d_avg,unexpect_dem_diff_30d_avg
2022-02-18 17:00:00,MIDW,Midwest,92271,-2314,1282,18171,2022,2,18,17,554.35,-5.47,12.18,MIDW,-0.9659258262890683,-0.25881904510252063,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.3800081810157376,19.560162759155205,87249.0,5964.0,-2739.0,-4661.0,-3102.6666666666665,94454.0,87517.82777777778,88627.17361111111,291.2625,14236.413888888888,88100.93055555556,-1202.3069444444445,0.33016779951804126,16.374939141857535,87.92088888888888,-7.3703611111111105,7.745055555555555,-978.3791666666667
2022-02-18 18:00:00,MIDW,Midwest,89732,-1549,1258,19049,2022,2,18,18,653.03,-4.13,14.14,MIDW,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.3751188745449974,20.822447886492572,87258.0,3797.0,-2314.0,-5468.0,-2643.6666666666665,92898.0,87524.1888888889,88625.67222222222,291.9861111111111,14231.791666666666,88105.4986111111,-1204.1361111111112,0.33091705107366515,16.36861966070269,88.41322222222223,-7.3659027777777775,7.750097222222222,-969.5444444444445
2022-02-18 19:00:00,MIDW,Midwest,87473,-1439,1346,19931,2022,2,18,19,515.28,-2.98,15.27,MIDW,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.5045326000693022,22.278483842482366,86976.0,2029.0,-1549.0,-5092.0,-2200.6666666666665,91483.0,87527.90694444445,88621.29861111111,292.9291666666667,14228.676388888889,88107.75416666667,-1205.5416666666667,0.33195203551896796,16.364501010265208,88.69309722222222,-7.359958333333333,7.756486111111111,-965.3388888888888
2022-02-18 20:00:00,MIDW,Midwest,85538,-728,1359,20879,2022,2,18,20,449.05,-2.31,16.04,MIDW,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.5424076995539615,23.696784664449716,86508.0,474.0,-1439.0,-5059.0,-1767.3333333333333,89463.0,87528.47777777778,88614.41944444444,293.9236111111111,14227.366666666667,88107.82083333333,-1206.2208333333333,0.333080135554903,16.36299578084621,88.99747222222223,-7.352444444444443,7.763694444444444,-965.7263888888889
2022-02-18 21:00:00,MIDW,Midwest,83843,-851,1143,21287,2022,2,18,21,297.7,-2.04,16.47,MIDW,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.326416933574711,24.702919741911526,85866.0,-500.0,-728.0,-4717.0,-1238.6666666666667,88109.0,87526.88194444444,88605.62777777777,294.6722222222222,14226.761111111111,88105.7486111111,-1206.4958333333334,0.33396544470982176,16.362888945471227,89.22052777777778,-7.343263888888888,7.771444444444444,-969.1291666666667
2022-02-18 22:00:00,MIDW,Midwest,83322,-678,1061,22081,2022,2,18,22,70.75,-2.16,17.17,MIDW,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,1.2375198283101614,25.754642157320145,85941.0,-1286.0,-851.0,-4188.0,-1006.0,86172.0,87523.10833333334,88595.77777777778,295.60277777777776,14227.675,88101.71388888889,-1206.6930555555555,0.33507157623256273,16.36509223419683,89.29098611111111,-7.332930555555555,7.780611111111111,-975.0152777777778
2022-02-18 23:00:00,MIDW,Midwest,84346,-831,613,22368,2022,2,18,23,5.68,-2.37,18.27,MIDW,-0.25881904510252157,0.9659258262890681,0.8660254037844386,0.5000000000000001,49,0.7469720876965552,0.6648553979642865,4,-0.433883739117558,-0.9009688679024191,0,0.7133879527045899,26.031095801135834,87097.0,-2088.0,-678.0,-4226.0,-752.3333333333334,85736.0,87516.77777777778,88584.78194444445,296.3152777777778,14229.927777777777,88095.01944444445,-1206.5847222222221,0.33590934385296994,16.369494992411298,89.29887500000001,-7.322166666666667,7.792527777777779,-982.15
2022-02-19 00:00:00,MIDW,Midwest,87155,-1061,76,22085,2022,2,19,0,0.0,-2.12,18.2,MIDW,0.0,1.0,0.8660254037844386,0.5000000000000001,50,0.7583058084785624,0.6518989958787126,5,-0.9749279121818236,-0.2225209339563146,1,0.08601469040370316,24.995189967970845,89485.0,-1944.0,-831.0,-5682.0,-786.6666666666666,85928.0,87509.23888888888,88573.12777777777,296.41805555555555,14232.872222222222,88088.43194444444,-1205.6263888888889,0.3360258250511527,16.374426251899575,89.29887500000001,-7.310291666666666,7.805097222222222,-989.0736111111111
2022-02-19 01:00:00,MIDW,Midwest,90005,-1311,2,22139,2022,2,19,1,0.0,-1.86,17.75,MIDW,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,50,0.7583058084785624,0.6518989958787126,5,-0.9749279121818236,-0.2225209339563146,1,0.002187489746141815,24.214417744916823,91638.0,-781.0,-1061.0,-6485.0,-856.6666666666666,88357.0,87504.60555555555,88564.8736111111,296.42083333333335,14235.068055555555,88084.66666666667,-1204.5291666666667,0.33602886323135567,16.377727264671723,89.29887500000001,-7.296777777777778,7.818083333333334,-995.4833333333333
2022-02-19 02:00:00,MIDW,Midwest,89763,-1246,1,22294,2022,2,19,2,0.0,-1.59,17.14,MIDW,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,50,0.7583058084785624,0.6518989958787126,5,-0.9749279121818236,-0.2225209339563146,1,0.0010932546190007652,24.37301847600306,91126.0,-342.0,-1311.0,-6487.0,-1067.6666666666667,91429.0,87500.93055555556,88557.74722222223,296.4222222222222,14237.6875,88082.4361111111,-1202.9138888888888,0.33603038164054866,16.38112566830114,89.29887500000001,-7.281833333333333,7.830472222222221,-1002.0986111111112
